government,department,programme,subprogramme,financial_year,budget_phase,value
Mpumalanga,"Community Safety, Security And Liaison",Security  Management,Provincial Security Operation,2020,Medium Term Estimates,489248000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Overload Control,2018,Main appropriation,29145000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Overload Control,2019,Medium Term Estimates,35080000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Overload Control,2020,Medium Term Estimates,38276000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Programme Support,2018,Main appropriation,2544000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Programme Support,2019,Medium Term Estimates,2658000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Programme Support,2020,Medium Term Estimates,2805000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Road Safety Education,2018,Main appropriation,31019000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Road Safety Education,2019,Medium Term Estimates,36332000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Road Safety Education,2020,Medium Term Estimates,37956000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Safety Engineering,2018,Main appropriation,6809000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Safety Engineering,2019,Medium Term Estimates,7214000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Safety Engineering,2020,Medium Term Estimates,7611000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,TRAFFIC LAW ENFORCEMENT,2018,Main appropriation,403117000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,TRAFFIC LAW ENFORCEMENT,2019,Medium Term Estimates,415166000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,TRAFFIC LAW ENFORCEMENT,2020,Medium Term Estimates,437683000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Transport Administration and Licensing,2018,Main appropriation,102026000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Transport Administration and Licensing,2019,Medium Term Estimates,111650000.0
Mpumalanga,"Community Safety, Security And Liaison",Transport Regulation,Transport Administration and Licensing,2020,Medium Term Estimates,117789000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Administration,Cooperate Services,2018,Main appropriation,117666000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Administration,Cooperate Services,2019,Medium Term Estimates,124874000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Administration,Cooperate Services,2020,Medium Term Estimates,136691000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Administration,Office of the MEC,2018,Main appropriation,8011000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Administration,Office of the MEC,2019,Medium Term Estimates,8610000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Administration,Office of the MEC,2020,Medium Term Estimates,9301000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Disaster Management,2018,Main appropriation,7633000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Disaster Management,2019,Medium Term Estimates,8367000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Disaster Management,2020,Medium Term Estimates,9096000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Idp Coordination,2018,Main appropriation,2379000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Idp Coordination,2019,Medium Term Estimates,2552000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Idp Coordination,2020,Medium Term Estimates,2775005.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Land Use Management,2018,Main appropriation,15250000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Land Use Management,2019,Medium Term Estimates,15012000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Land Use Management,2020,Medium Term Estimates,16380000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Local Economic Development,2018,Main appropriation,7727000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Local Economic Development,2019,Medium Term Estimates,8291000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Local Economic Development,2020,Medium Term Estimates,9021000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Municipal Infrastracture,2018,Main appropriation,27102000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Municipal Infrastracture,2019,Medium Term Estimates,6575000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Municipal Infrastracture,2020,Medium Term Estimates,7157000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Office Support,2018,Main appropriation,1572000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Office Support,2019,Medium Term Estimates,1652000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Office Support,2020,Medium Term Estimates,1795000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Spatial Planning,2018,Main appropriation,5905000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Spatial Planning,2019,Medium Term Estimates,5860000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Development and Planning,Spatial Planning,2020,Medium Term Estimates,6347000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Capacity Development,2018,Main appropriation,3531000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Capacity Development,2019,Medium Term Estimates,3631000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Capacity Development,2020,Medium Term Estimates,3941000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Municipal Administration,2018,Main appropriation,18984000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Municipal Administration,2019,Medium Term Estimates,11297000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Municipal Administration,2020,Medium Term Estimates,12260035.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,"Municipal Performance Monitoring, Reporting  Eva",2018,Main appropriation,3877000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,"Municipal Performance Monitoring, Reporting  Eva",2019,Medium Term Estimates,4022000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,"Municipal Performance Monitoring, Reporting  Eva",2020,Medium Term Estimates,4377000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Office Support,2018,Main appropriation,1889000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Office Support,2019,Medium Term Estimates,1940000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Office Support,2020,Medium Term Estimates,2106000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Public Participation,2018,Main appropriation,166063000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Public Participation,2019,Medium Term Estimates,180816000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Local Governance,Public Participation,2020,Medium Term Estimates,197042000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,The House of Traditional Leaders,Adminitration of House of Taditional Leaders,2018,Main appropriation,7614000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,The House of Traditional Leaders,Adminitration of House of Taditional Leaders,2019,Medium Term Estimates,6570000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,The House of Traditional Leaders,Adminitration of House of Taditional Leaders,2020,Medium Term Estimates,7959000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,The House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,2018,Main appropriation,12091000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,The House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,2019,Medium Term Estimates,10883000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,The House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,2020,Medium Term Estimates,12764000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Office Support,2018,Main appropriation,1843000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Office Support,2019,Medium Term Estimates,1943000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Office Support,2020,Medium Term Estimates,2108000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Rural Development Facilitation,2018,Main appropriation,4576000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Rural Development Facilitation,2019,Medium Term Estimates,4826000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Rural Development Facilitation,2020,Medium Term Estimates,5248000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Institutional Administration,2018,Main appropriation,18842000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Institutional Administration,2019,Medium Term Estimates,20217000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Institutional Administration,2020,Medium Term Estimates,22003000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Land Administration,2018,Main appropriation,2804000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Land Administration,2019,Medium Term Estimates,3003000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Land Administration,2020,Medium Term Estimates,3268000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Resource Adiministration,2018,Main appropriation,86901000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Resource Adiministration,2019,Medium Term Estimates,92822000.0
Mpumalanga,Co-Operative Governance And Traditional Affairs,Traditional Institutional Management,Traditional Resource Adiministration,2020,Medium Term Estimates,80579000.0
Mpumalanga,"Culture, Sport And Recreation",Administration,Corporate Services,2018,Main appropriation,91106000.0
Mpumalanga,"Culture, Sport And Recreation",Administration,Corporate Services,2019,Medium Term Estimates,90270000.0
Mpumalanga,"Culture, Sport And Recreation",Administration,Corporate Services,2020,Medium Term Estimates,90489000.0
Mpumalanga,"Culture, Sport And Recreation",Administration,Office of the MEC,2018,Main appropriation,10245000.0
Mpumalanga,"Culture, Sport And Recreation",Administration,Office of the MEC,2019,Medium Term Estimates,10957000.0
Mpumalanga,"Culture, Sport And Recreation",Administration,Office of the MEC,2020,Medium Term Estimates,11720000.0
Mpumalanga,"Culture, Sport And Recreation",Cultural Affairs,Arts and Culture,2018,Main appropriation,74906000.0
